id,fake-company-name,company-email
"1","PD Nugroho Uyainah","qoktaviani@permata.name"
"2","PT Mayasari Januar Tbk","ulya48@suwarno.ac.id"
"3","UD Wibowo Samosir Tbk","andriani.caket@pratiwi.go.id"
"4","PD Melani (Persero) Tbk","sbudiyanto@zulaika.org"
"5","UD Widiastuti Uyainah","oanggriawan@kusmawati.info"
"6","PD Yolanda Tbk","nabila93@usamah.com"
"7","Perum Utami Rahayu (Persero) Tbk","gina.palastri@handayani.in"
"8","PD Hariyah (Persero) Tbk","hasan29@nashiruddin.asia"
"9","UD Napitupulu Anggraini Tbk","laras36@hariyah.net"
"10","UD Wulandari Agustina Tbk","respati24@saptono.biz.id"
"11","UD Siregar Safitri Tbk","nyana.lestari@mayasari.net"
"12","PD Yuliarti Tbk","baktianto.wijaya@mustofa.tv"
"13","PD Halim Tbk","hidayat.intan@setiawan.org"
"14","CV Sihotang Nashiruddin (Persero) Tbk","diana.sitompul@natsir.org"
"15","PD Usamah","candra86@usada.web.id"
"16","CV Nurdiyanti Maryati (Persero) Tbk","opan.widiastuti@mahendra.or.id"
"17","UD Hutagalung Tbk","mumpuni89@hartati.go.id"
"18","UD Kuswandari Rahmawati Tbk","mmandasari@kuswoyo.biz"
"19","UD Yulianti Tbk","jagaraga.pranowo@waskita.my.id"
"20","CV Nuraini Suryatmi (Persero) Tbk","jhasanah@zulaika.ac.id"
"21","PT Januar","irahayu@gunarto.in"
"22","PD Siregar Halimah Tbk","eluh32@widiastuti.info"
"23","CV Budiyanto","taswir.aryani@winarno.biz.id"
"24","PT Natsir Dabukke","queen.siregar@usamah.or.id"
"25","PT Situmorang","handayani.septi@saragih.ac.id"
"26","PT Hastuti (Persero) Tbk","wprayoga@saptono.go.id"
"27","PD Putra","prayitna40@pudjiastuti.desa.id"
"28","PD Salahudin","joko.utama@mayasari.tv"
"29","PT Pudjiastuti Ramadan Tbk","cinta80@firgantoro.sch.id"
"30","CV Wibisono","chalimah@kusmawati.asia"
"31","UD Laksmiwati Rajata (Persero) Tbk","yhabibi@haryanti.biz"
"32","PT Pradipta Suartini","yance23@salahudin.web.id"
"33","Perum Purnawati","prasasta.viktor@mandasari.info"
"34","Perum Wacana Kuswoyo Tbk","gprasetya@kusmawati.desa.id"
"35","Perum Usamah Tbk","latika28@pudjiastuti.in"
"36","Perum Hardiansyah Riyanti (Persero) Tbk","langgeng.damanik@utami.biz.id"
"37","UD Adriansyah","enarpati@nasyidah.ac.id"
"38","PT Gunarto (Persero) Tbk","viktor35@waluyo.in"
"39","UD Hartati Suwarno (Persero) Tbk","simbolon.carla@namaga.mil.id"
"40","Perum Haryanti","sudiati.mahesa@hasanah.org"
"41","PD Mayasari","gunarto.cawisadi@waluyo.net"
"42","Perum Palastri Yolanda (Persero) Tbk","purnawati.tantri@hasanah.com"
"43","PD Mandasari Tbk","ksinaga@dongoran.info"
"44","Perum Astuti Prayoga (Persero) Tbk","latika.tamba@susanti.biz"
"45","UD Padmasari (Persero) Tbk","marwata42@prasasta.go.id"
"46","UD Nasyiah","victoria70@andriani.co.id"
"47","Perum Yolanda","harjo92@laksita.in"
"48","PD Lestari","ika52@mandala.ac.id"
"49","UD Handayani","rahayu.bakti@pangestu.web.id"
"50","Perum Andriani Nashiruddin Tbk","sakura.melani@palastri.tv"
"51","PT Wijayanti Mardhiyah Tbk","pudjiastuti.karimah@kuswandari.in"
"52","PT Nugroho","pfarida@kuswandari.web.id"
"53","PT Hartati","widiastuti.lidya@nasyiah.biz.id"
"54","CV Yuliarti Tbk","kala14@prasasta.net"
"55","PT Samosir","wijayanti.adikara@hakim.tv"
"56","Perum Thamrin","mwijaya@wijayanti.or.id"
"57","CV Halimah Firmansyah","azulaika@wastuti.name"
"58","PD Damanik Novitasari","rsudiati@anggriawan.mil.id"
"59","UD Ramadan Mayasari Tbk","sadina42@irawan.name"
"60","CV Manullang Mandasari","yolanda.vicky@kusumo.asia"
"61","PD Mustofa","pradana.ajiono@kuswandari.com"
"62","PD Wibowo","ika26@handayani.in"
"63","CV Nababan (Persero) Tbk","putu28@fujiati.co.id"
"64","PT Uyainah Tbk","gabriella.fujiati@hasanah.tv"
"65","Perum Pratama Sirait","laksmiwati.mursita@kusmawati.name"
"66","UD Mandasari Winarsih Tbk","paris.zulaika@budiman.or.id"
"67","PT Haryanti (Persero) Tbk","suartini.puji@kuswoyo.info"
"68","CV Yuliarti","rahmawati.putri@pranowo.mil.id"
"69","PD Putra Fujiati Tbk","fhakim@jailani.go.id"
"70","CV Siregar Puspasari Tbk","ellis.agustina@wastuti.ac.id"
"71","PD Riyanti (Persero) Tbk","maryati.hani@gunawan.biz"
"72","Perum Hastuti","natalia.saragih@usamah.in"
"73","CV Astuti Saputra (Persero) Tbk","rlazuardi@winarno.co"
"74","UD Maheswara","zsirait@suwarno.sch.id"
"75","PD Nurdiyanti Mustofa (Persero) Tbk","zulaika.jaka@mayasari.mil.id"
"76","CV Fujiati","zulaikha60@pranowo.tv"
"77","PT Samosir Pradana","gabriella18@wijayanti.mil.id"
"78","CV Hariyah Wijayanti (Persero) Tbk","saefullah.iriana@natsir.biz.id"
"79","PD Nurdiyanti","owinarno@andriani.mil.id"
"80","PT Prasetyo (Persero) Tbk","usamah.eva@saefullah.co.id"
"81","Perum Santoso Hakim","joko71@wibisono.biz"
"82","PT Puspita Tbk","raisa80@hidayanto.biz"
"83","PD Permata (Persero) Tbk","jaswadi17@hakim.co.id"
"84","UD Puspita","osusanti@uyainah.go.id"
"85","Perum Permata Hassanah Tbk","handayani.sarah@utami.sch.id"
"86","PT Rajata Mayasari","sitompul.vero@mulyani.my.id"
"87","CV Haryanto Widiastuti","jprabowo@safitri.or.id"
"88","Perum Nainggolan","mandala.liman@purnawati.sch.id"
"89","PD Megantara","kairav84@widiastuti.name"
"90","PD Hidayanto","carla.hutasoit@maheswara.ac.id"
"91","PT Yolanda Napitupulu","umaya.saragih@wahyuni.tv"
"92","UD Mansur","farida.qori@sudiati.biz"
"93","PD Laksmiwati","ffujiati@yolanda.my.id"
"94","PT Farida","sihombing.prasetyo@andriani.asia"
"95","CV Pranowo Tbk","omansur@damanik.org"
"96","Perum Widiastuti Pradana","devi.dongoran@halim.com"
"97","Perum Suryatmi Tbk","astuti.tania@salahudin.info"
"98","CV Wulandari Najmudin","purwadi.pangestu@nugroho.name"
"99","PD Haryanto","ratna.lazuardi@irawan.web.id"
"100","PT Kuswoyo Tbk","anashiruddin@sihombing.sch.id"
"101","PD Wibowo Novitasari Tbk","mala.yulianti@wulandari.name"
"102","CV Hakim","ana30@lazuardi.sch.id"
"103","UD Padmasari Tbk","wkurniawan@farida.com"
"104","PD Anggriawan","astuti.sabrina@hasanah.name"
"105","CV Ardianto Waluyo","osihotang@hariyah.go.id"
"106","UD Wacana Kuswandari","usamah.baktianto@prastuti.asia"
"107","PD Rahimah","hesti.lazuardi@aryani.biz"
"108","UD Sinaga Usamah","kawaca.pangestu@marpaung.mil.id"
"109","CV Nashiruddin","shania.aryani@wibowo.net"
"110","PD Sihotang","saragih.yunita@maryati.info"
"111","Perum Marbun","puspasari.candra@anggriawan.net"
"112","PD Pradipta Mardhiyah Tbk","ynuraini@januar.my.id"
"113","PT Palastri Tbk","eyolanda@saputra.org"
"114","CV Saptono Hidayat (Persero) Tbk","suartini.nyoman@andriani.sch.id"
"115","Perum Halim (Persero) Tbk","wibisono.amelia@iswahyudi.co"
"116","Perum Hutapea","zulkarnain.nilam@simanjuntak.biz.id"
"117","Perum Hartati","sadina.astuti@agustina.tv"
"118","CV Halimah Nasyidah","kalim53@saptono.info"
"119","CV Laksita Tbk","gambira39@setiawan.net"
"120","Perum Prakasa (Persero) Tbk","pia38@pranowo.org"
"121","CV Padmasari Nurdiyanti","riyanti.yuni@novitasari.info"
"122","Perum Mangunsong Yolanda","amangunsong@purwanti.co"
"123","PD Pratama Suartini","zwidiastuti@safitri.asia"
"124","Perum Prasasta (Persero) Tbk","uyuniar@yulianti.sch.id"
"125","PD Natsir Sihotang","prabawa.najmudin@farida.or.id"
"126","CV Winarsih Sudiati Tbk","langgeng.maheswara@hutagalung.org"
"127","Perum Hariyah","brajasa@mardhiyah.go.id"
"128","UD Namaga Tampubolon","pnasyiah@widiastuti.web.id"
"129","PD Yuliarti Tbk","sitompul.hasna@mangunsong.name"
"130","Perum Mandala Tbk","zalindra.zulkarnain@hakim.ac.id"
"131","PD Namaga","ghaliyati51@najmudin.name"
"132","UD Maryati","agustina.simon@rajata.web.id"
"133","PD Yuniar","lsuryono@pradipta.in"
"134","CV Nashiruddin Puspita (Persero) Tbk","yuniar.uchita@saputra.com"
"135","PD Melani Tamba Tbk","santoso.jinawi@laksita.co"
"136","UD Suwarno","upalastri@kuswoyo.mil.id"
"137","PD Hastuti Adriansyah","pangestu33@prayoga.net"
"138","Perum Rajata Widodo Tbk","kuswoyo.joko@winarno.mil.id"
"139","UD Hassanah Padmasari Tbk","pangestu.tri@hidayat.org"
"140","CV Saefullah Palastri (Persero) Tbk","saka13@wibisono.mil.id"
"141","PT Sihombing Padmasari (Persero) Tbk","raisa.wulandari@habibi.net"
"142","UD Susanti Hariyah","kemba.rahimah@hutapea.go.id"
"143","PT Waluyo","tmaryadi@suryatmi.tv"
"144","Perum Hasanah (Persero) Tbk","natsir.nabila@nurdiyanti.org"
"145","Perum Utami Hutasoit","jais94@uyainah.web.id"
"146","PD Haryanti Tbk","citra10@nugroho.sch.id"
"147","PD Irawan Handayani","hidayanto.kadir@hassanah.net"
"148","UD Sudiati","hani92@simanjuntak.co.id"
"149","UD Budiman Tamba Tbk","znamaga@prasasta.go.id"
"150","CV Sirait (Persero) Tbk","lazuardi.vicky@permata.org"
"151","CV Haryanti Palastri Tbk","qusamah@wijaya.info"
"152","PD Gunawan Tbk","hesti86@purwanti.or.id"
"153","PD Sirait Winarsih","wanggraini@oktaviani.web.id"
"154","CV Fujiati Haryanto Tbk","silvia.novitasari@wibisono.asia"
"155","CV Wahyuni Tampubolon (Persero) Tbk","wibisono.cakrabuana@palastri.biz.id"
"156","PT Pranowo Tbk","npuspita@wasita.or.id"
"157","PD Halimah Andriani","yulianti.paris@nashiruddin.asia"
"158","CV Wastuti Prabowo","kayla42@safitri.co"
"159","PT Budiman (Persero) Tbk","ypermadi@gunarto.org"
"160","CV Laksmiwati Setiawan (Persero) Tbk","nadine.yuliarti@palastri.desa.id"
"161","Perum Padmasari Hastuti Tbk","keisha91@wahyudin.co"
"162","PT Oktaviani (Persero) Tbk","pertiwi.yunita@wijaya.in"
"163","PD Mulyani (Persero) Tbk","thartati@kusumo.desa.id"
"164","UD Dongoran Narpati","habibi.keisha@widodo.in"
"165","Perum Palastri Tbk","salman.usamah@nasyidah.go.id"
"166","UD Jailani (Persero) Tbk","warji19@gunawan.my.id"
"167","PD Haryanti Haryanti","ratih.mansur@pradipta.name"
"168","CV Nugroho Setiawan","puji12@lestari.go.id"
"169","UD Kuswoyo (Persero) Tbk","uhidayanto@uwais.asia"
"170","UD Nuraini (Persero) Tbk","lasmono.novitasari@sihombing.biz"
"171","PT Damanik Tbk","mutia.usada@wulandari.name"
"172","UD Usamah","fathonah08@irawan.in"
"173","PT Saputra Padmasari Tbk","agustina.marsudi@permadi.co.id"
"174","CV Wijaya Namaga (Persero) Tbk","gada.mandasari@padmasari.go.id"
"175","PD Santoso Pratama (Persero) Tbk","alika.usamah@pertiwi.or.id"
"176","Perum Pratiwi Uyainah (Persero) Tbk","cemplunk67@saputra.ac.id"
"177","PD Maryati Gunarto Tbk","najmudin.capa@handayani.name"
"178","UD Wahyudin Prasetyo","darmana82@wibowo.co"
"179","UD Kuswandari Sihotang Tbk","wage.ardianto@maryati.or.id"
"180","Perum Manullang Anggraini (Persero) Tbk","betania32@yuliarti.net"
"181","UD Padmasari Manullang (Persero) Tbk","karja.mayasari@prayoga.in"
"182","Perum Andriani Wasita","rajasa.hartaka@utama.biz"
"183","Perum Mahendra","zamira.sitorus@siregar.com"
"184","CV Suryatmi Nababan (Persero) Tbk","kamila.marbun@prasetyo.mil.id"
"185","PD Najmudin Purwanti (Persero) Tbk","jayeng.rahimah@permadi.biz"
"186","UD Permata Nasyiah (Persero) Tbk","inasyidah@halim.or.id"
"187","CV Saputra Tbk","tantri50@pradipta.co.id"
"188","Perum Laksmiwati Uyainah Tbk","prasetyo.jaya@putra.co.id"
"189","UD Rahmawati Agustina Tbk","ani.iswahyudi@wulandari.sch.id"
"190","PD Mustofa (Persero) Tbk","bzulaika@ramadan.name"
"191","PT Maryati Tbk","hesti.pratiwi@prastuti.co"
"192","CV Nuraini","dfujiati@winarsih.desa.id"
"193","PT Lestari (Persero) Tbk","vagustina@widiastuti.co"
"194","Perum Zulkarnain (Persero) Tbk","indah05@anggriawan.tv"
"195","Perum Pranowo","malika.hastuti@mardhiyah.my.id"
"196","Perum Prayoga (Persero) Tbk","lili.uyainah@manullang.web.id"
"197","CV Hutagalung","hilda81@pudjiastuti.biz.id"
"198","CV Anggriawan Lestari","maheswara.siti@wibisono.asia"
"199","PT Hartati","jamalia.wahyuni@sihombing.org"
"200","CV Pratiwi","kambali.farida@usada.tv"
"201","PT Ramadan (Persero) Tbk","tina.mulyani@nurdiyanti.my.id"
"202","PT Sitompul Waluyo Tbk","gading.situmorang@rahimah.my.id"
"203","Perum Wastuti (Persero) Tbk","rpuspasari@halimah.com"
"204","PT Sirait Tbk","elon28@pratiwi.tv"
"205","UD Sudiati Rahimah (Persero) Tbk","zulaika.ibrani@novitasari.co"
"206","CV Hariyah Mardhiyah","cengkir80@mangunsong.biz.id"
"207","Perum Wastuti Winarsih (Persero) Tbk","sabrina.mandasari@agustina.sch.id"
"208","CV Rahayu Aryani (Persero) Tbk","nirawan@hastuti.co.id"
"209","Perum Laksmiwati Hutasoit","mmandasari@nuraini.go.id"
"210","Perum Haryanto Wijaya Tbk","halimah.paris@saefullah.ac.id"
"211","PT Melani Tbk","nainggolan.galih@wasita.my.id"
"212","CV Pranowo Widiastuti Tbk","kezia36@saptono.go.id"
