id,fake-company-name,company-email,belasting-toegevoegde-waarde
"1","Ellis Jorrisen NV","gruijl.elizabeth@marceron.com","NL475391289B78"
"2","Hoekstra","dina.heijman@dekoning.nl","NL386288753B10"
"3","Klerks","fatima30@vandermeer.com","NL156924409B77"
"4","Schokman","sofie.schenkel@vannederlotharingen.nl","NL625211420B35"
"5","Vos Specht","senn21@verbeeck.com","NL156387716B39"
"6","van Hulten Bosch BV","cicek.pim@vanderloo.com","NL793227379B93"
"7","van Olst","lizz87@vanbeieren.nl","NL790206470B60"
"8","Sanders","lana.vandenbrink@kleinepier.com","NL415244648B15"
"9","Vervoort","rens.scholten@evers.com","NL300648591B86"
"10","Kuipers & Zn","janna47@vansalm.com","NL223976489B22"
"11","de Graaf","bram.visser@demirci.net","NL168199793B95"
"12","Bosman","vierdag.evy@ariens.com","NL789677491B62"
"13","Aziz","fien.scholten@fredriks.nl","NL457871531B35"
"14","de Ruiter Mijsberg BV","imijsberg@autar.nl","NL263272048B89"
"15","Köse CV","gansnebgenaamdtengnageltotbonkenhave.jack@mol.org","NL986281333B61"
"16","Roukes Mohammad NV","mason22@vandenbrink.com","NL936590734B38"
"17","Doris Bin Sijlvanus CV","lizz69@vandoorn.nl","NL314583319B61"
"18","Jacobs","elin.dejong@dekoning.com","NL231682205B60"
"19","Sardjoe Stichting","pdemirel@badal.nl","NL388447338B70"
"20","Farah","escholten@autar.nl","NL174744452B18"
"21","van der Pol Bezemer CV","delarivebox.kyra@willemsen.nl","NL428564196B89"
"22","Segerszoen","rdevries@yalcin.com","NL276259827B32"
"23","Peeters","vangils.benthe@vandevelde.com","NL641773391B86"
"24","Arts","vanbeek.jennifer@ramos.org","NL996703175B65"
"25","Post VOF","jente.willemsen@vanderpol.nl","NL171548927B90"
"26","van de Wal","pboer@bresse.com","NL871727956B14"
"27","Winnrich & Zonen","coretcoredo.nadia@springintveld.org","NL933812353B48"
"28","Güneş","heribertvanlaon.lindsey@vroegindewei.nl","NL421493903B28"
"29","van den Velden Hazenveld & Zn","oscar12@holthuis.com","NL823070940B19"
"30","Smits Kuiper & Zn","dion66@meyer.nl","NL794436563B53"
"31","Brouwer","vanderpol.vajen@uysal.com","NL817186371B66"
"32","Rahajoe genaamd en geschreven ten Kate","vandepavert.fabienne@aziz.com","NL313419167B82"
"33","Steinmeiern","slematelot@yildiz.nl","NL424413946B61"
"34","de Koning Stichting","sam.jan@weijters.nl","NL715134433B86"
"35","Pham Mercks LLP","weeldenburg.chloe@bulut.nl","NL617751541B14"
"36","van Doorn de Groot CSL","kleguit@vandebrink.net","NL168924997B44"
"37","van der Velden SE","lola30@totwiller.nl","NL534775571B95"
"38","Dekker","sami03@bosch.nl","NL874835232B92"
"39","Bosch EESV","justin05@vanverdun.com","NL815819444B22"
"40","de Boer EESV","hagendoorn.amina@soos.nl","NL729453113B35"
"41","van Bergen","ella68@lommert.com","NL184804906B82"
"42","Sardjoe Biharie VOF","rick.vanginneke@dehoog.nl","NL945071975B93"
"43","Keskin","liza.boer@mahabier.com","NL575124034B20"
"44","Kurt van den Berg & Zn","mila.vosspecht@vanbragt.com","NL773595595B17"
"45","Pison","vannederlotharingen.aaliyah@vanderven.nl","NL432447142B61"
"46","Kuiper CV","ninthe.mudden@bos.com","NL374987460B46"
"47","van der Velde Keskin CSL","celik.rafael@veenendaal.nl","NL577478654B19"
"48","Ariens Ansems van Wijk CV","joey27@bos.nl","NL811599091B65"
"49","Özdemir","kuipers.fien@mudden.nl","NL190489548B36"
"50","van Clootwijck & Zn","wzhou@maas.nl","NL414074990B49"
"51","Vos Specht CV","britt22@yilmaz.nl","NL639448752B11"
"52","Bos CV","vanbeek.mats@vandenpol.net","NL315765577B51"
"53","le Floch & Zn","ewolters@slingerland.nl","NL998522935B52"
"54","van den Brink Steenbakkers BV","joshua50@debruin.nl","NL289694413B91"
"55","Jacobs","feline93@deroos.net","NL969688515B66"
"56","Wolters EESV","lorenzo.geerman@malik.net","NL267642608B75"
"57","Heinrichs","jansen.riley@dekker.com","NL690863732B10"
"58","Lathrope","boer.merle@bleijenberg.nl","NL306059122B77"
"59","van Loon Texier VOF","hyalcin@vanderhorst.com","NL173205866B46"
"60","de Graaf van Jumiège EESV","ubadal@zaal.nl","NL785958050B80"
"61","Kijk in de Vegte","ozkan.suze@vanengeland.nl","NL495452343B89"
"62","Bresse BV","loek.dekoning@deboer.nl","NL200387179B43"
"63","Farah","kvanhoevelenvanzwindrecht@vandeeerenbeemt.com","NL297185424B11"
"64","Uphuis Gemen IBC","alicia.cakir@mohamed.nl","NL780438513B81"
"65","Sahin Kiliç CSL","qschipper@unal.com","NL331008070B21"
"66","Lonen Stichting","adam63@salet.nl","NL694588340B77"
"67","van der Pol","rosalie41@vroegindewei.nl","NL727052744B86"
"68","van 't Wel EESV","juul86@bos.net","NL633297839B58"
"69","Kuijpers","farah.kyano@dekker.net","NL174620499B65"
"70","Scholten Ahmadi LLP","yasmin43@hellevoort.com","NL295031091B64"
"71","Claesdr","paspoortvangrijpskerkeenpoppendamme.maryam@boer.org","NL213453399B98"
"72","van Loon Stichting","zhang.jordy@loep.com","NL590724544B59"
"73","Bruijne van der Veen Huisman VOF","yara.mohammad@perkins.net","NL428818752B88"
"74","Kurt Niermann & Zn","yramcharan@willems.nl","NL331028262B99"
"75","Bakker CSL","kyan21@houdijk.com","NL225273453B10"
"76","Ponci BV","noah11@vanberkel.nl","NL946824163B28"
"77","van der Ven","vanbeek.amelia@dossantos.com","NL284892090B51"
"78","Schipper","poversteeg@vannoort.org","NL691522658B92"
"79","Puig Demirel NV","ian08@kalloe.nl","NL185923312B64"
"80","Jasper dr Schipper IBC","vos.ties@vanderheyden.com","NL931537485B98"
"81","van der Velden & Zn","tristan38@mohamed.org","NL374873559B69"
"82","Yalçin & Zn","sophie38@timmermans.com","NL317336912B48"
"83","Charon","keskin.jari@vanluin.org","NL668639497B60"
"84","Bakker","tdejonge@vangoerle.nl","NL925354331B18"
"85","van Voorst","ndijkstra@postma.com","NL855147665B39"
"86","Grondel","ilse.vanderlaan@smits.com","NL800154593B52"
"87","von Heinrich d'Omóróvicza Sardjoe SE","cornelia23@stange.nl","NL176999919B65"
"88","Koçak Stichting","mramlal@korsman.com","NL122739331B77"
"89","Peters NV","pham.sam@bosch.org","NL110453862B93"
"90","Marchal CV","dejonge.wesley@vanderhorst.com","NL389230892B45"
"91","Ali","qgiselmeyer@huisman.nl","NL234060516B87"
"92","Bulut LLP","erdogan.silke@middelkoop.com","NL775074268B94"
"93","van der Meer SE","jesper.veenstra@devos.com","NL854638469B94"
"94","Wunderink EESV","qboer@vandeberg.com","NL815333280B17"
"95","Hulskes","olykan.sander@vandermast.org","NL253053234B49"
"96","de Ruiter Blom & Zn","silke73@degroot.com","NL543973729B38"
"97","Aslan","lbadal@lijn.com","NL310935353B14"
"98","Şahin LLP","nathan.aslan@willems.org","NL110044955B41"
"99","van den Heuvel LLP","vbosman@perrono.org","NL181917339B19"
"100","Hussein van Beek CV","jayda63@schelvis.com","NL471801340B41"
"101","Uzun","noa62@polat.org","NL284673605B92"
