id,fake-company-name,company-email
"1","Jonsson och Öberg HB","oberg.annastina@hedlund.com"
"2","Holmqvist & Holm","sundstrom.theodor@danielsson.com"
"3","Bergman & Månsson AB","uhenriksson@forsberg.com"
"4","Lund AB","karl23@hellstrom.com"
"5","Nordin HB","helge.strom@arvidsson.org"
"6","Forsberg HB","kaxelsson@abrahamsson.com"
"7","Alva Lindberg HB","dlarsson@wikstrom.com"
"8","Sundberg & Lundström HB","ivarsson.kjell@lundgren.com"
"9","Svensson AB","rebecka62@nyberg.com"
"10","Ek & Lind HB","ymattsson@gunnarsson.net"
"11","Nilsson och Sandberg","claes.sandstrom@magnusson.com"
"12","Håkansson och Eklund","hakan63@blom.info"
"13","Engström AB","eugen.mattsson@karlsson.biz"
"14","Bernt Axelsson AB","eva.nordin@lindholm.biz"
"15","Viklund AB","viking.martensson@lofgren.com"
"16","Olofsson AB","marion24@norberg.com"
"17","Berg och Ivarsson HB","clas81@andreasson.com"
"18","Samuelsson och Öberg AB","fransson.susanna@lindstrom.biz"
"19","Abrahamsson HB","pauline39@pettersson.com"
"20","Strömberg HB","annalena25@lund.info"
"21","Eliasson och Blomqvist","janove.pettersson@nyberg.biz"
"22","Jansson AB","katrin86@olofsson.info"
"23","Persson och Åström","ejonasson@hermansson.biz"
"24","Lindholm och Öberg AB","samuelsson.percy@hellstrom.net"
"25","Forsberg & Hansen HB","tord.hansson@berglund.info"
"26","Valentin Sundberg AB","plindberg@jonsson.com"
"27","Sandberg HB","jonsson.marita@martensson.com"
"28","Bergqvist & Karlsson","berggren.desiree@soderberg.com"
"29","Eliasson HB","hmattsson@jansson.com"
"30","Lindberg & Bergman HB","henriksson.johanna@viklund.com"
"31","Holmberg AB","julius.karlsson@dahlberg.com"
"32","Jönsson och Holmgren","xlindqvist@jansson.com"
"33","Abrahamsson AB","lundin.jens@jonasson.com"
"34","Lindholm HB","palsson.elsemarie@sundberg.org"
"35","Hans-Erik Månsson HB","uastrom@ivarsson.com"
"36","Berg HB","lizzie97@berglund.com"
"37","Inga-Lena Holmgren AB","ellinor.holm@danielsson.net"
"38","Nordström och Lindqvist HB","carljohan.holmgren@nordstrom.com"
"39","Johansson AB","elma.holmqvist@mattsson.com"
"40","Svensson och Falk","elisabeth.hermansson@sundqvist.biz"
"41","Holm AB","frans.bengtsson@holmgren.com"
"42","Mårtensson och Eriksson HB","gunnar30@lundberg.com"
"43","Lund och Åkesson","karlgustav.oberg@pettersson.com"
"44","Algot Söderberg AB","ernst.blom@henriksson.info"
"45","Lind & Samuelsson","uekstrom@gustafsson.info"
"46","Öberg & Norberg","ghellstrom@lundin.com"
"47","Berglund och Jönsson AB","amalia60@jakobsson.info"
"48","Hedlund och Jonsson AB","levi94@larsson.com"
"49","Lundberg HB","fredriksson.bengtgoran@jansson.biz"
"50","Pålsson AB","hekstrom@ekstrom.com"
"51","Nordin AB","agaton91@holmberg.net"
"52","Berglund och Pålsson","christer32@jansson.org"
"53","Falk HB","majbritt.lundberg@lind.com"
"54","Åström och Hansen","solve.lindqvist@lundgren.org"
"55","Blom och Mattsson AB","terese.berg@jansson.com"
"56","Henriksson och Ström AB","herta66@lindberg.com"
"57","Gunnarsson HB","viola88@samuelsson.com"
"58","Jansson HB","ek.mats@eriksson.com"
"59","Norberg AB","linnea74@hansen.com"
"60","Karlsson och Månsson AB","kennet52@martinsson.com"
"61","Ekström AB","ingegerd52@eklund.com"
"62","Larsson & Blomqvist","omartinsson@akesson.com"
"63","Andreasson & Mattsson AB","set87@karlsson.info"
"64","Kjell Mattsson AB","linda26@martinsson.biz"
